year,aqi
1996,23.875
1997,22.41176470588235
1998,19.73076923076923
1999,20.850649350649352
2000,23.403361344537814
2001,22.322580645161292
2002,27.560439560439562
2003,24.323741007194243
2004,22.64808362369338
2005,23.923295454545453
2006,24.195592286501377
2007,24.437106918238992
2008,26.49812734082397
2009,25.210526315789473
2010,17.666666666666668
2011,17.122448979591837
2012,22.452229299363058
2013,22.46524064171123
2014,18.887323943661972
2015,19.529166666666665
2016,22.68208092485549
2017,18.573170731707318
2018,22.29045643153527
2019,18.774590163934427
2020,25.89958158995816
2021,24.565217391304348
2022,20.884615384615383
2023,19.306122448979593
